"","CensusTract","State","County","food_desert_2017","PovertyRate","MedianFamilyIncome","food_desert_2010"
"1","37001020100","North Carolina","Alamance",0,32.1,33250,NA
"2","37001020200","North Carolina","Alamance",0,35,31404,1
"3","37001020300","North Carolina","Alamance",1,22.1999999999999,34190,NA
"4","37001020400","North Carolina","Alamance",1,29.8,34592,1
"5","37001020501","North Carolina","Alamance",1,23.6999999999999,45820,NA
"6","37001020502","North Carolina","Alamance",1,28.1,40357,NA
"7","37001020601","North Carolina","Alamance",0,6.3,98164,NA
"8","37001020602","North Carolina","Alamance",0,8.19999999999999,72097,NA
"9","37001020701","North Carolina","Alamance",0,6.9,58738,NA
"10","37001020702","North Carolina","Alamance",0,14.1,60288,NA
"11","37001020801","North Carolina","Alamance",0,13.1999999999999,45912,NA
"12","37001020802","North Carolina","Alamance",0,33.2999999999999,33674,NA
"13","37001020901","North Carolina","Alamance",1,24,49237,NA
"14","37001020902","North Carolina","Alamance",1,23.3999999999999,72169,NA
"15","37001021000","North Carolina","Alamance",0,37.6,31115,NA
"16","37001021101","North Carolina","Alamance",1,20.1999999999999,52101,NA
"17","37001021102","North Carolina","Alamance",0,18.5,47901,NA
"18","37001021201","North Carolina","Alamance",1,27.1,40313,1
"19","37001021204","North Carolina","Alamance",0,12.1,61250,NA
"20","37001021205","North Carolina","Alamance",0,8,64041,NA
"21","37001021206","North Carolina","Alamance",1,20.8999999999999,69063,NA
"22","37001021207","North Carolina","Alamance",0,22.5,61548,NA
"23","37001021300","North Carolina","Alamance",0,13.8,57364,NA
"24","37001021400","North Carolina","Alamance",0,15,57009,NA
"25","37001021500","North Carolina","Alamance",0,10.4,66827,NA
"26","37001021600","North Carolina","Alamance",0,14.1,58804,NA
"27","37001021701","North Carolina","Alamance",0,1.5,98281,NA
"28","37001021702","North Carolina","Alamance",0,19.3,96172,NA
"29","37001021703","North Carolina","Alamance",0,17.5,77689,NA
"30","37001021801","North Carolina","Alamance",0,15.6,64706,NA
"31","37001021802","North Carolina","Alamance",0,15.5,41094,NA
"32","37001021803","North Carolina","Alamance",0,12.6,48661,NA
"33","37001021901","North Carolina","Alamance",0,17.8999999999999,48995,NA
"34","37001021902","North Carolina","Alamance",0,11.5,70067,NA
"35","37001022001","North Carolina","Alamance",0,11,54770,NA
"36","37001022002","North Carolina","Alamance",0,14.6,64038,NA
"37","37003040100","North Carolina","Alexander",0,14.4,50030,NA
"38","37003040200","North Carolina","Alexander",0,7.9,55417,NA
"39","37003040300","North Carolina","Alexander",0,10.1,48880,NA
"40","37003040400","North Carolina","Alexander",1,23.6,46330,NA
"41","37003040500","North Carolina","Alexander",0,21.8999999999999,47944,NA
"42","37003040600","North Carolina","Alexander",0,18.3999999999999,54578,NA
"43","37003040700","North Carolina","Alexander",0,12.8,61992,NA
"44","37005950100","North Carolina","Alleghany",0,17.8999999999999,44048,NA
"45","37005950200","North Carolina","Alleghany",0,28.1,33725,NA
"46","37005950300","North Carolina","Alleghany",0,16.6,48300,NA
"47","37007920100","North Carolina","Anson",0,13.5,39732,NA
"48","37007920200","North Carolina","Anson",0,12.8,40958,NA
"49","37007920300","North Carolina","Anson",0,20.1,43621,NA
"50","37007920400","North Carolina","Anson",0,24.6,38453,NA
"51","37007920500","North Carolina","Anson",1,31.8999999999999,34115,NA
"52","37007920600","North Carolina","Anson",0,30,39963,NA
"53","37009970200","North Carolina","Ashe",1,19,35897,1
"54","37009970300","North Carolina","Ashe",0,21.8999999999999,37121,NA
"55","37009970400","North Carolina","Ashe",0,22.8999999999999,46111,NA
"56","37009970500","North Carolina","Ashe",1,25,41913,NA
"57","37009970700","North Carolina","Ashe",0,11.6,59438,NA
"58","37009970800","North Carolina","Ashe",0,23,47247,NA
"59","37011930100","North Carolina","Avery",0,22.1999999999999,58929,NA
"60","37011930200","North Carolina","Avery",0,13.1,60639,NA
"61","37011930301","North Carolina","Avery",0,16.5,52298,NA
"62","37011930302","North Carolina","Avery",0,25,31484,NA
"63","37011930400","North Carolina","Avery",0,15.9,42019,NA
"64","37013930100","North Carolina","Beaufort",0,24.8999999999999,44554,NA
"65","37013930200","North Carolina","Beaufort",0,18.1999999999999,59792,NA
"66","37013930300","North Carolina","Beaufort",1,34,35592,NA
"67","37013930400","North Carolina","Beaufort",1,32.2999999999999,41111,NA
"68","37013930501","North Carolina","Beaufort",0,13,59602,NA
"69","37013930502","North Carolina","Beaufort",0,21.8,50149,NA
"70","37013930600","North Carolina","Beaufort",0,13.9,54208,NA
"71","37013930700","North Carolina","Beaufort",0,11.1,53854,NA
"72","37013930800","North Carolina","Beaufort",0,13.8,51563,NA
"73","37013930900","North Carolina","Beaufort",0,9,69615,NA
"74","37013931000","North Carolina","Beaufort",0,19.8,44933,NA
"75","37015960100","North Carolina","Bertie",0,17.3999999999999,48536,1
"76","37015960200","North Carolina","Bertie",0,21.3999999999999,41375,NA
"77","37015960300","North Carolina","Bertie",0,26,35714,NA
"78","37015960400","North Carolina","Bertie",1,33.2999999999999,34725,NA
"79","37017950100","North Carolina","Bladen",1,27,49777,NA
"80","37017950200","North Carolina","Bladen",0,25.3,42868,1
"81","37017950300","North Carolina","Bladen",0,32.1,34402,NA
"82","37017950400","North Carolina","Bladen",1,36.7999999999999,39729,NA
"83","37017950500","North Carolina","Bladen",0,21.6,42987,NA
"84","37017950600","North Carolina","Bladen",1,23.5,42011,NA
"85","37019020101","North Carolina","Brunswick",0,27.1999999999999,45452,NA
"86","37019020102","North Carolina","Brunswick",0,17.5,49840,NA
"87","37019020103","North Carolina","Brunswick",0,14.1,70139,NA
"88","37019020104","North Carolina","Brunswick",1,24.6999999999999,46812,NA
"89","37019020201","North Carolina","Brunswick",0,10.3,66364,NA
"90","37019020202","North Carolina","Brunswick",0,13.8,70148,NA
"91","37019020203","North Carolina","Brunswick",0,9.69999999999999,63611,NA
"92","37019020204","North Carolina","Brunswick",1,12.1999999999999,42500,NA
"93","37019020303","North Carolina","Brunswick",0,18.6,58009,NA
"94","37019020304","North Carolina","Brunswick",0,4,78269,NA
"95","37019020305","North Carolina","Brunswick",0,12.4,60450,NA
"96","37019020306","North Carolina","Brunswick",0,15.4,71084,NA
"97","37019020307","North Carolina","Brunswick",0,5,95750,NA
"98","37019020308","North Carolina","Brunswick",0,5.8,71000,NA
"99","37019020309","North Carolina","Brunswick",0,7.6,55625,NA
"100","37019020310","North Carolina","Brunswick",0,12.1999999999999,51656,NA
"101","37019020402","North Carolina","Brunswick",0,22.1,63830,NA
"102","37019020403","North Carolina","Brunswick",0,21.6,34821,NA
"103","37019020404","North Carolina","Brunswick",0,22.6999999999999,30764,NA
"104","37019020405","North Carolina","Brunswick",0,27.6999999999999,37553,NA
"105","37019020504","North Carolina","Brunswick",0,3.4,83971,NA
"106","37019020505","North Carolina","Brunswick",0,32.6,34534,NA
"107","37019020506","North Carolina","Brunswick",0,13.1999999999999,46495,NA
"108","37019020507","North Carolina","Brunswick",0,14,54698,NA
"109","37019020508","North Carolina","Brunswick",0,14.8,68469,NA
"110","37019020509","North Carolina","Brunswick",0,15.1,58080,NA
"111","37019020510","North Carolina","Brunswick",0,25.3,53438,NA
"112","37019020511","North Carolina","Brunswick",0,11.9,56821,NA
"113","37019020512","North Carolina","Brunswick",0,5,80455,NA
"114","37019020601","North Carolina","Brunswick",0,17.5,52667,NA
"115","37019020602","North Carolina","Brunswick",0,14,59223,NA
"116","37019020603","North Carolina","Brunswick",0,33.2999999999999,46477,NA
"117","37019990100","North Carolina","Brunswick",0,0,0,NA
