"","state","county","x2010_census_population","population_estimate_2011","population_estimate_2012","population_estimate_2013","population_estimate_2014","population_estimate_2015","population_estimate_2016","population_estimate_2018","pct_black_pop_2018","pct_white_pop_2018","pct_white_pop_2010","pct_black_pop_2010"
"1","North Carolina","001","151,131","152,847","153,659","154,622","156,036","157,857","159,688",160576,0.191448286169789,0.702383917895576,0.710774096644633,0.187711323289067
"2","North Carolina","003","37,198","37,108","36,964","36,999","37,360","37,304","37,428",37119,0.0567095018723565,0.879334033783238,0.895854615839561,0.054922307650949
"3","North Carolina","005","11,155","11,024","10,923","10,896","10,863","10,812","10,848",10973,0.0242413196026611,0.94285974665087,0.922277005826983,0.0125504258180188
"4","North Carolina","007","26,948","26,508","26,311","25,959","26,066","25,632","25,448",25306,0.487354777523117,0.477475697463052,0.471537776458364,0.485750333976547
"5","North Carolina","009","27,281","27,132","27,099","27,036","27,000","26,900","26,924",26786,0.0074292540879564,0.950795191517957,0.954877020637073,0.0059015431985631
"6","North Carolina","011","17,797","17,766","17,630","17,704","17,723","17,592","17,516",17501,0.0446831609622307,0.914862007885264,0.919480811372703,0.0398381749733101
"7","North Carolina","013","47,759","47,707","47,497","47,496","47,505","47,543","47,526",47243,0.255085409478653,0.714412717227949,0.681567872024121,0.255930819322013
"8","North Carolina","015","21,282","20,968","20,591","20,444","20,440","20,290","19,854",19644,0.610771736917125,0.348248829159031,0.351846630955737,0.624753312658585
"9","North Carolina","017","35,190","35,004","34,922","34,810","34,531","34,266","33,741",33778,0.350139143821422,0.571377819882764,0.562830349531117,0.348621767547599
"10","North Carolina","019","107,431","110,223","112,163","115,287","118,809","122,622","126,953",126860,0.103231909191234,0.837127542172474,0.830235220746339,0.114408317897069
"11","North Carolina","021","238,318","241,387","244,188","247,480","249,997","252,808","256,088",254474,0.0632481117913814,0.888031783207715,0.873589070066046,0.0638264839416242
"12","North Carolina","023","90,912","90,609","89,901","89,265","88,689","88,704","88,851",89712,0.0645844480114143,0.846575708935259,0.843848996832101,0.066129883843717
