"","state_county_fips_code","select_state","select_county","select_state_county_tract","primary_ruca_code_2010","secondary_ruca_code_2010","tract_population_2010","land_area_square_miles_2010","county","tract"
"1","37001","NC","Alamance County","37001020100",1,1,3908,1.74197332188412,"001","020100"
"2","37001","NC","Alamance County","37001020200",1,1,4152,1.33392162434729,"001","020200"
"3","37001","NC","Alamance County","37001020300",1,1,8063,4.30939100876143,"001","020300"
"4","37001","NC","Alamance County","37001020400",1,1,6059,4.46262299284784,"001","020400"
"5","37001","NC","Alamance County","37001020501",1,1,3575,2.75645562836585,"001","020501"
"6","37001","NC","Alamance County","37001020502",1,1,3782,2.09322900337762,"001","020502"
"7","37001","NC","Alamance County","37001020601",1,1,3234,2.16153009203131,"001","020601"
"8","37001","NC","Alamance County","37001020602",1,1,2414,1.07052079005771,"001","020602"
"9","37001","NC","Alamance County","37001020701",1,1,4519,2.62525154556701,"001","020701"
"10","37001","NC","Alamance County","37001020702",1,1,4742,2.92359037956933,"001","020702"
"11","37001","NC","Alamance County","37001020801",1,1,1450,4.5984645488705,"001","020801"
"12","37001","NC","Alamance County","37001020802",1,1,5857,1.82883009496569,"001","020802"
"13","37001","NC","Alamance County","37001020901",1,1,3583,3.04246815043158,"001","020901"
"14","37001","NC","Alamance County","37001020902",1,1,3380,3.95902413447475,"001","020902"
"15","37001","NC","Alamance County","37001021000",1,1,3720,1.29344460283214,"001","021000"
"16","37001","NC","Alamance County","37001021101",1,1,2668,3.11879746160986,"001","021101"
"17","37001","NC","Alamance County","37001021102",1,1,3318,4.16157989921189,"001","021102"
"18","37001","NC","Alamance County","37001021201",1,1,5252,13.5562292180504,"001","021201"
"19","37001","NC","Alamance County","37001021204",1,1,4280,12.8292432242929,"001","021204"
"20","37001","NC","Alamance County","37001021205",1,1,4636,4.49247293809855,"001","021205"
"21","37001","NC","Alamance County","37001021206",1,1,4320,5.01184715913742,"001","021206"
"22","37001","NC","Alamance County","37001021207",1,1,3086,4.5677991558262,"001","021207"
"23","37001","NC","Alamance County","37001021300",2,2,6057,52.4545356966905,"001","021300"
"24","37001","NC","Alamance County","37001021400",2,2,2650,25.3707171616239,"001","021400"
"25","37001","NC","Alamance County","37001021500",2,2,4681,35.563599908571,"001","021500"
"26","37001","NC","Alamance County","37001021600",1,1,6934,12.8750608110926,"001","021600"
"27","37001","NC","Alamance County","37001021701",1,1,3237,1.63547205624119,"001","021701"
"28","37001","NC","Alamance County","37001021702",1,1,5282,2.12025808613785,"001","021702"
"29","37001","NC","Alamance County","37001021703",1,1,4866,8.95477314952811,"001","021703"
"30","37001","NC","Alamance County","37001021801",2,2,4441,31.3118960396728,"001","021801"
"31","37001","NC","Alamance County","37001021802",2,2,3553,28.023908604982,"001","021802"
"32","37001","NC","Alamance County","37001021803",2,2,2879,36.5960765069182,"001","021803"
"33","37001","NC","Alamance County","37001021901",2,2,4535,21.4007756020491,"001","021901"
"34","37001","NC","Alamance County","37001021902",2,2.1,4423,47.1029236428895,"001","021902"
"35","37001","NC","Alamance County","37001022001",2,2,3319,11.3530209406376,"001","022001"
"36","37001","NC","Alamance County","37001022002",2,2,4276,21.2415188796242,"001","022002"
"37","37003","NC","Alexander County","37003040100",3,3,3476,60.0279507086519,"003","040100"
"38","37003","NC","Alexander County","37003040200",2,2,3994,65.8878334571434,"003","040200"
"39","37003","NC","Alexander County","37003040300",2,2,3202,28.1896530022533,"003","040300"
"40","37003","NC","Alexander County","37003040400",2,2,6552,19.9251876842673,"003","040400"
"41","37003","NC","Alexander County","37003040500",2,2,6982,42.9051362400135,"003","040500"
"42","37003","NC","Alexander County","37003040600",2,2,6347,27.5377152326574,"003","040600"
"43","37003","NC","Alexander County","37003040700",1,1,6645,15.520570365577,"003","040700"
"44","37005","NC","Alleghany County","37005950100",10,10,4079,92.1788622186667,"005","950100"
"45","37005","NC","Alleghany County","37005950200",10,10,3870,29.95388588673,"005","950200"
"46","37005","NC","Alleghany County","37005950300",10,10,3206,112.926686919013,"005","950300"
"47","37007","NC","Anson County","37007920100",2,2,3411,101.622979334267,"007","920100"
"48","37007","NC","Anson County","37007920200",10,10,1738,68.1744351711282,"007","920200"
"49","37007","NC","Anson County","37007920300",2,2,8178,122.562629633805,"007","920300"
"50","37007","NC","Anson County","37007920400",2,2,3032,41.0242912322374,"007","920400"
"51","37007","NC","Anson County","37007920500",2,2,6138,35.4248625862359,"007","920500"
"52","37007","NC","Anson County","37007920600",2,2,4451,162.642319578315,"007","920600"
"53","37009","NC","Ashe County","37009970200",8,8,2884,54.5030745316195,"009","970200"
"54","37009","NC","Ashe County","37009970300",8,8,2470,82.6700509809312,"009","970300"
"55","37009","NC","Ashe County","37009970400",7,7,4525,32.3341837877241,"009","970400"
"56","37009","NC","Ashe County","37009970500",7,7,6528,41.7407404976394,"009","970500"
"57","37009","NC","Ashe County","37009970700",8,8,5926,92.2013125157337,"009","970700"
"58","37009","NC","Ashe County","37009970800",8,8,4948,122.68533522163,"009","970800"
"59","37011","NC","Avery County","37011930100",10,10,3100,35.9467429964926,"011","930100"
"60","37011","NC","Avery County","37011930200",10,10,2723,79.5377743062902,"011","930200"
"61","37011","NC","Avery County","37011930301",10,10,3515,35.4273147211493,"011","930301"
"62","37011","NC","Avery County","37011930302",10,10,3130,43.4469669357541,"011","930302"
"63","37011","NC","Avery County","37011930400",7,7,5329,52.7280037590908,"011","930400"
