"","County","GROC09","GROC14","SUPERC09","SUPERC14","CONVS09","CONVS14","SPECS09","SPECS14"
"1","Alamance",23,30,4,4,85,80,6,7
"2","Alexander",4,4,1,1,12,14,0,1
"3","Alleghany",4,3,0,0,8,8,2,1
"4","Anson",5,3,1,1,19,19,3,3
"5","Ashe",4,5,1,1,16,16,3,3
"6","Avery",6,4,0,0,11,14,1,0
"7","Beaufort",10,10,1,1,32,30,3,4
"8","Bertie",6,6,0,0,13,11,0,4
"9","Bladen",8,7,0,0,22,21,0,0
"10","Brunswick",22,20,3,3,49,41,12,13
"11","Buncombe",49,56,3,5,128,113,13,21
"12","Burke",17,19,0,0,49,48,5,4
"13","Cabarrus",28,32,7,6,78,87,16,11
"14","Caldwell",15,12,1,2,48,42,2,0
"15","Camden",1,0,0,0,5,7,0,0
"16","Carteret",14,13,1,1,42,43,9,9
"17","Caswell",2,1,0,0,14,17,2,0
"18","Catawba",25,31,3,3,87,85,4,7
"19","Chatham",14,13,1,1,36,33,1,0
"20","Cherokee",6,4,1,1,14,15,0,0
"21","Chowan",5,4,0,0,9,11,2,1
"22","Clay",1,2,0,0,6,3,1,0
"23","Cleveland",21,17,1,1,67,64,4,5
"24","Columbus",12,16,1,1,32,37,4,3
"25","Craven",18,14,2,2,68,62,7,4
"26","Cumberland",46,48,6,8,155,166,12,11
"27","Currituck",9,10,0,0,19,19,7,5
"28","Dare",17,16,0,0,41,35,18,12
"29","Davidson",32,33,2,3,94,85,8,5
"30","Davie",4,4,1,1,20,22,1,0
"31","Duplin",13,12,0,1,37,36,2,4
"32","Durham",49,47,4,7,115,109,11,13
"33","Edgecombe",11,12,1,1,39,33,3,1
"34","Forsyth",65,76,7,9,177,167,20,20
"35","Franklin",9,7,0,1,37,37,0,0
"36","Gaston",30,32,5,6,117,104,5,6
"37","Gates",2,3,0,0,7,9,2,1
"38","Graham",2,2,0,0,6,6,0,0
"39","Granville",9,7,0,1,40,39,0,0
"40","Greene",2,5,0,0,14,11,0,0
"41","Guilford",94,109,8,8,246,251,24,30
"42","Halifax",22,17,1,1,49,53,4,5
"43","Harnett",16,20,1,1,56,48,0,0
"44","Haywood",10,10,0,1,44,36,3,4
"45","Henderson",23,23,2,2,53,41,7,6
"46","Hertford",7,8,0,0,18,18,4,3
"47","Hoke",7,6,0,1,20,25,0,0
"48","Hyde",1,1,0,0,6,6,3,3
"49","Iredell",30,28,4,4,86,90,11,9
"50","Jackson",8,6,1,1,22,16,4,3
"51","Johnston",34,33,5,4,84,88,5,5
"52","Jones",2,2,0,0,6,5,0,0
"53","Lee",16,12,1,1,36,36,5,2
"54","Lenoir",17,15,1,1,39,44,1,1
"55","Lincoln",12,14,1,2,48,36,3,1
"56","McDowell",9,8,0,1,32,18,4,3
"57","Macon",8,9,0,1,23,18,2,3
"58","Madison",3,2,0,0,6,9,1,1
"59","Martin",5,5,0,1,17,11,3,0
"60","Mecklenburg",187,200,12,14,314,346,59,61
"61","Mitchell",2,1,1,1,7,5,0,0
"62","Montgomery",4,5,1,1,19,16,0,0
"63","Moore",16,20,1,1,43,51,4,4
"64","Nash",21,22,3,3,83,77,4,1
"65","New Hanover",41,45,4,4,89,86,19,21
"66","Northampton",5,6,0,0,12,16,0,0
"67","Onslow",20,21,3,3,65,75,9,10
"68","Orange",21,20,1,1,43,50,8,7
"69","Pamlico",4,4,0,0,6,5,1,0
"70","Pasquotank",8,6,1,1,24,25,6,4
"71","Pender",7,10,0,0,18,15,3,2
"72","Perquimans",2,2,0,0,5,8,0,0
"73","Person",6,5,1,1,30,36,0,1
"74","Pitt",29,26,2,3,86,88,7,8
"75","Polk",5,3,0,0,6,8,1,1
"76","Randolph",22,20,2,2,70,70,11,11
"77","Richmond",11,12,1,1,37,37,3,2
"78","Robeson",27,29,3,3,82,98,3,1
"79","Rockingham",16,20,3,3,69,71,2,3
"80","Rowan",19,19,1,1,71,73,5,4
"81","Rutherford",15,13,1,1,42,37,4,0
"82","Sampson",12,11,1,1,32,33,2,1
"83","Scotland",8,7,1,1,30,31,1,1
"84","Stanly",12,15,2,2,28,33,7,3
"85","Stokes",9,7,0,0,26,23,0,0
"86","Surry",17,17,1,2,48,48,7,5
"87","Swain",4,3,0,0,16,14,2,0
"88","Transylvania",6,7,0,0,15,16,3,2
"89","Tyrrell",2,1,0,0,4,5,0,0
"90","Union",28,34,2,3,67,64,5,6
"91","Vance",8,10,1,1,54,50,2,2
"92","Wake",167,185,19,22,344,335,40,47
"93","Warren",3,5,0,0,15,10,0,0
"94","Washington",3,4,0,0,7,6,1,2
"95","Watauga",10,11,0,1,23,23,3,4
"96","Wayne",19,25,4,4,73,77,10,6
"97","Wilkes",15,13,0,1,53,42,3,2
"98","Wilson",18,19,1,1,51,54,5,3
"99","Yadkin",9,8,0,0,23,18,1,1
"100","Yancey",3,3,0,0,10,9,0,0
